Area,Build year,Building type,Equipment,Floor,Heating system,No. of floors,Number of rooms,Renovation year,price,city,region,street
74,2020,Block house,Fully equipped,1,Central thermostat,4,3,0,133000,Vilnius,Pilaitė,Karaliaučiaus g.
68.27,2020,Monolithic,Partial decoration,3,Central thermostat,6,3,0,133100,Vilnius,Šeškinė,Gelvonų g.
26.33,2021,Brick,Partial decoration,2,Central thermostat,4,1,0,51500,Vilnius,Lazdynėliai,Lazdynėlių g.
64.44,2021,Brick,Fully equipped,3,Gas,3,3,0,74000,Kauno r. sav.,Giraitės k.,Girios g.
50,1959,Brick,Fully equipped,0,Electric,4,2,0,98000,Vilnius,Naujamiestis,A. Smetonos g.
42.79,2021,Brick,Partial decoration,3,Central thermostat,5,2,0,73700,Vilnius,Pašilaičiai,Budiniškių g.
80,2021,Brick,Partial decoration,4,Central thermostat,8,4,0,107150,Kaunas,Dainava,Partizanų g.
63.57,2020,Brick,Partial decoration,3,Central thermostat,4,3,0,82760,Kaunas,Žaliakalnis,Žemaičių g.
52.14,2020,Brick,Partial decoration,4,Central thermostat,4,2,0,76180,Kaunas,Žaliakalnis,Žemaičių g.
66.34,2021,Brick,Partial decoration,3,Central thermostat,5,3,0,147138,Vilnius,Šnipiškės,Linkmenų g.
63,2020,Brick,Partial decoration,2,Gas,3,3,0,56700,Kauno r. sav.,Giraitės k.,Girios g.
64,2020,Brick,Partial decoration,3,Gas,3,3,0,57600,Kauno r. sav.,Giraitės k.,Girios g.
100,2019,Brick,Fully equipped,1,Gas,2,4,0,110000,Kauno r. sav.,Giraitės k.,Adolfo Šapokos g.
64,2020,Brick,Fully equipped,5,"Central thermostat, other",6,3,0,259000,Vilnius,Senamiestis,Rinktinės g.
76.81,2018,Brick,Partial decoration,1,Central thermostat,7,3,0,112400,Klaipėda,Miškas,Šarlotės g.
76.52,2019,Brick,Partial decoration,3,Central thermostat,7,3,0,124000,Klaipėda,Miškas,Šarlotės g.
37.18,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,74100,Vilnius,Lazdynėliai,Lazdynėlių g.
65.64,2019,Brick,Partial decoration,3,Central,4,4,0,116800,Vilnius,Justiniškės,Taikos g.
74.26,1971,Brick,Fully equipped,4,Central,5,4,0,68000,Druskininkų m.,None,Veisiejų g.
55,2015,Brick,Fully equipped,2,Central,4,2,0,100000,Klaipėda,Mažasis kaimelis,Šiaurės pr.
73,2020,Brick,Partial decoration,3,Gas,4,3,0,146770,Vilnius,Burbiškės,Burbiškių g.
96.18,2020,Brick,Partial decoration,2,Gas,4,4,0,182180,Vilnius,Burbiškės,Burbiškių g.
34.97,2021,Brick,Partial decoration,2,Gas,3,1,0,58277,Vilnius,Justiniškės,Mozūriškių g.
73.65,2020,Brick,Fully equipped,1,Gas,3,3,0,149000,Kaunas,Šilainiai,Josvainių g.
40,2021,Block house,Partial decoration,9,Central thermostat,9,2,0,60000,Kaunas,Dainava,Pramonės pr.
65.73,2021,Brick,Partial decoration,2,Central thermostat,4,3,0,114200,Vilnius,Justiniškės,Taikos g.
47.48,2021,Brick,Partial decoration,2,Gas,3,2,0,45106,Kauno r. sav.,Giraitės k.,Putinų g.
87.08,2021,Brick,Partial decoration,1,Gas,1,4,0,119569,Kaunas,Žemutiniai Kaniūkai,Įkalnės aklg.
73,2021,Brick,Partial decoration,6,Central thermostat,9,4,0,101000,Vilnius,Justiniškės,Rygos g.
51.65,2021,Block house,Fully equipped,1,Gas,3,2,0,64563,Kauno r. sav.,Užliedžių k.,Ilgoji g.
85.96,2017,Brick,Partial decoration,1,Gas,4,3,0,122472,Kaunas,Šilainiai,Kalnų g.
21.7,1934,Brick,Fully equipped,0,Central,6,1,2013,52000,Kaunas,Centras,V. Putvinskio g.
60,2020,Brick,Fully equipped,2,Gas,2,3,0,119000,Kaunas,Dainava,K. Šakenio g.
88.77,2020,Block house,Partial decoration,1,Central thermostat,4,4,0,113400,Vilnius,Pilaitė,Karaliaučiaus g.
48,2018,Block house,Fully equipped,1,Central thermostat,4,2,0,132000,Vilnius,Markučiai,Manufaktūrų g.
