Area,Build year,Building type,Equipment,Floor,Heating system,No. of floors,Number of rooms,Renovation year,price,city,region,street
54.95,2021,Brick,Partial decoration,2,Central,9,3,0,71500,Kaunas,Šilainiai,Naujakurių g.
46.19,2016,Brick,Fully equipped,6,Central thermostat,7,2,0,98285,Vilnius,Karoliniškės,Sausio 13-osios g.
60.76,1981,Block house,Fully equipped,6,Central,9,3,0,67000,Kaunas,Eiguliai,Ukmergės g.
52.68,2021,Brick,Partial decoration,3,Central thermostat,5,2,0,82000,Vilnius,Pilaitė,Bitėnų g.
63.3,2021,Brick,Partial decoration,5,Central thermostat,5,3,0,114000,Vilnius,Pilaitė,Bitėnų g.
43.5,2000,Monolithic,Fully equipped,2,Electric,5,1,0,105000,Vilnius,Žvėrynas,Sėlių g.
30,1970,Block house,Fully equipped,5,Central,5,1,0,37800,Kaunas,Dainava,Pramonės pr.
75.96,2021,Brick,Partial decoration,3,Gas,4,3,0,103990,Kaunas,Žemutiniai Kaniūkai,Įkalnės aklg.
65.54,1975,Brick,Fully equipped,3,Central,5,3,0,89900,Kaunas,Žaliakalnis,J. Žemgulio g.
65.1,2021,Brick,Partial decoration,3,Central thermostat,5,3,0,100000,Vilnius,Pilaitė,Bitėnų g.
47.91,2019,Brick,Fully equipped,4,Central thermostat,5,2,0,124600,Palanga,Vėžių g.,None
96.33,1940,Brick,Fully equipped,1,Gas,2,5,0,284999,Vilnius,Šnipiškės,Šeimyniškių g.
73,2021,Brick,Partial decoration,6,Central thermostat,9,4,0,101000,Vilnius,Justiniškės,Rygos g.
88.77,2020,Block house,Partial decoration,1,Central thermostat,4,4,0,113400,Vilnius,Pilaitė,Karaliaučiaus g.
48,2018,Block house,Fully equipped,1,Central thermostat,4,2,0,132000,Vilnius,Markučiai,Manufaktūrų g.
33.63,2020,Brick,Partial decoration,1,Central,5,1,0,50370,Kaunas,Dainava,Partizanų g.
42.59,2022,Brick,Partial decoration,2,Central thermostat,2,2,0,97600,Vilnius,Markučiai,Pakraščio g.
32.14,2021,Brick,Partial decoration,2,Central thermostat,5,1,0,52600,Vilnius,Pašilaičiai,Budiniškių g.
57.9,2021,Brick,Partial decoration,3,Central thermostat,8,3,0,82440,Kaunas,Dainava,Partizanų g.
46,2020,Brick,Partial decoration,1,Central thermostat,5,2,0,69820,Kaunas,Dainava,Partizanų g.
36.32,2019,Other,Partial decoration,7,Central thermostat,8,2,0,89800,Vilnius,Šeškinė,Siesikų g.
46,2021,Brick,Partial decoration,2,Central thermostat,5,2,0,105030,Vilnius,Šnipiškės,Linkmenų g.
124.69,1998,Monolithic,Fully equipped,2,Electric,3,4,2020,330000,Vilnius,Senamiestis,J. Basanavičiaus g.
36.38,2020,Brick,Partial decoration,4,Central thermostat,4,1,0,53520,Kaunas,Žaliakalnis,Žemaičių g.
148,2020,Brick,Partial decoration,2,Central thermostat,2,4,0,553850,Vilnius,Senamiestis,Pylimo g.
22.74,2021,Brick,Partial decoration,3,Central thermostat,4,1,0,42500,Vilnius,Lazdynėliai,Lazdynėlių g.
41.69,2020,Brick,Partial decoration,2,Gas,3,2,0,79900,Kaunas,Žaliakalnis,Studentų g.
47.48,2021,Brick,Partial decoration,2,Gas,3,2,0,45106,Kauno r. sav.,Giraitės k.,Putinų g.
56,2021,Brick,Partial decoration,1,Central thermostat,4,3,0,97500,Vilnius,Lazdynėliai,Lazdynėlių g.
45.8,2021,Brick,Partial decoration,3,Central thermostat,4,2,0,82500,Vilnius,Lazdynėliai,Lazdynėlių g.
82,2020,Brick,Partial decoration,3,Central thermostat,4,3,0,280330,Vilnius,Senamiestis,Polocko g.
33.83,2020,Brick,Partial decoration,2,Central thermostat,5,1,0,84575,Vilnius,Šnipiškės,Giedraičių g.
32,2021,Brick,Partial decoration,2,Gas,3,1,0,51490,Vilnius,Justiniškės,Mozūriškių g.
39.78,2020,Brick,Partial decoration,3,Gas,4,1,0,77380,Vilnius,Burbiškės,Burbiškių g.
96.18,2020,Brick,Partial decoration,2,Gas,4,4,0,182180,Vilnius,Burbiškės,Burbiškių g.
64.57,2020,Brick,Partial decoration,4,Gas,4,3,0,167880,Vilnius,Burbiškės,Burbiškių g.
40,2021,Block house,Partial decoration,9,Central thermostat,9,2,0,60000,Kaunas,Dainava,Pramonės pr.
54.48,2007,Brick,Partial decoration,1,Gas,3,2,0,155000,Vilnius,Valakampiai,Nemenčinės pl.
65,2021,Brick,Partial decoration,3,Gas,3,3,0,104969,Vilnius,Justiniškės,Mozūriškių g.
42.61,2021,Brick,Partial decoration,2,Gas,3,2,0,69599,Vilnius,Justiniškės,Mozūriškių g.
51.7,1988,Brick,Fully equipped,2,Central,5,2,0,65600,Kaunas,Freda,Vinčų g.
93,2000,Brick,Fully equipped,4,Other,4,3,0,158620,Palanga,Palanga,Plytų g.
56.23,2020,Brick,Fully equipped,3,Gas,3,2,0,66500,Kauno r. sav.,Giraitės k.,Topolių g.
94,2021,Brick,Partial decoration,9,Central,9,4,0,118900,Kaunas,Šilainiai,Naujakurių g.
51.65,2021,Block house,Fully equipped,1,Gas,3,2,0,64563,Kauno r. sav.,Užliedžių k.,Ilgoji g.
80,1960,Brick,Fully equipped,2,"Central, electric",4,3,0,72000,Klaipėda,Žvejybos uostas,Minijos g.
60,2020,Brick,Fully equipped,2,Gas,2,3,0,119000,Kaunas,Dainava,K. Šakenio g.
54.81,1985,Block house,Fully equipped,9,Central,9,2,0,53500,Klaipėda,Laukininkai,Laukininkų g.
100.56,2000,Brick,Partial decoration,1,Gas,5,4,0,240000,Vilnius,Žvėrynas,Sakalų g.
